week_ending_date	flu_positivity
2022-10-01	0.02
2022-10-08	0.027000000000000003
2022-10-15	0.035
2022-10-22	0.054000000000000006
2022-10-29	0.084
2022-11-05	0.128
2022-11-12	0.149
2022-11-19	0.183
2022-11-26	0.258
2022-12-03	0.256
2022-12-10	0.263
2022-12-17	0.245
2022-12-24	0.20800000000000002
2022-12-31	0.149
2023-01-07	0.086
2023-01-14	0.046
2023-01-21	0.028999999999999998
2023-01-28	0.021
2023-02-04	0.017
2023-02-11	0.013999999999999999
2023-02-18	0.011000000000000001
2023-02-25	0.01
2023-03-04	0.009000000000000001
2023-03-11	0.01
2023-03-18	0.009000000000000001
2023-03-25	0.009000000000000001
2023-04-01	0.01
2023-04-08	0.011000000000000001
2023-04-15	0.01
2023-04-22	0.008
2023-04-29	0.01
2023-05-06	0.009000000000000001
2023-05-13	0.01
2023-05-20	0.012
2023-05-27	0.012
2023-06-03	0.013000000000000001
2023-06-10	0.011000000000000001
2023-06-17	0.011000000000000001
2023-06-24	0.009000000000000001
2023-07-01	0.011000000000000001
2023-07-08	0.012
2023-07-15	0.01
2023-07-22	0.01
2023-07-29	0.01
2023-08-05	0.011000000000000001
2023-08-12	0.009000000000000001
2023-08-19	0.009000000000000001
2023-08-26	0.008
2023-09-02	0.006999999999999999
2023-09-09	0.006999999999999999
2023-09-16	0.008
2023-09-23	0.009000000000000001
2023-09-30	0.009000000000000001
2023-10-07	0.011000000000000001
2023-10-14	0.013000000000000001
2023-10-21	0.015
2023-10-28	0.018000000000000002
2023-11-04	0.026000000000000002
2023-11-11	0.04
2023-11-18	0.049
2023-11-25	0.059000000000000004
2023-12-02	0.07
2023-12-09	0.098
2023-12-16	0.134
2023-12-23	0.17300000000000001
2023-12-30	0.182
2024-01-06	0.138
2024-01-13	0.139
2024-01-20	0.149
2024-01-27	0.161
2024-02-03	0.163
2024-02-10	0.159
2024-02-17	0.156
2024-02-24	0.155
2024-03-02	0.149
2024-03-09	0.142
2024-03-16	0.11900000000000001
2024-03-23	0.10400000000000001
2024-03-30	0.092
2024-04-06	0.075
2024-04-13	0.057999999999999996
2024-04-20	0.048
2024-04-27	0.038
2024-05-04	0.032
2024-05-11	0.023
2024-05-18	0.018000000000000002
2024-05-25	0.016
2024-06-01	0.016
2024-06-08	0.015
2024-06-15	0.013000000000000001
2024-06-22	0.01
2024-06-29	0.009000000000000001
2024-07-06	0.01
2024-07-13	0.008
2024-07-20	0.006999999999999999
2024-07-27	0.006
2024-08-03	0.006
2024-08-10	0.005
2024-08-17	0.005
2024-08-24	0.004
2024-08-31	0.004
2024-09-07	0.004
2024-09-14	0.005
2024-09-21	0.005
2024-09-28	0.005
2024-10-05	0.006999999999999999
2024-10-12	0.006999999999999999
2024-10-19	0.006999999999999999
2024-10-26	0.01
2024-11-02	0.012
2024-11-09	0.015
2024-11-16	0.021
2024-11-23	0.027999999999999997
2024-11-30	0.039
2024-12-07	0.052000000000000005
2024-12-14	0.086
2024-12-21	0.142
2024-12-28	0.182
2025-01-04	0.182
2025-01-11	0.184
2025-01-18	0.23800000000000002
2025-01-25	0.287
2025-02-01	0.316
2025-02-08	0.314
2025-02-15	0.278
2025-02-22	0.239
2025-03-01	0.195
2025-03-08	0.159
2025-03-15	0.133
2025-03-22	0.107
2025-03-29	0.092
2025-04-05	0.076
2025-04-12	0.062
2025-04-19	0.053
2025-04-26	0.044000000000000004
2025-05-03	0.033
2025-05-10	0.026000000000000002
2025-05-17	0.021
2025-05-24	0.019
2025-05-31	0.019
2025-06-07	0.016
2025-06-14	0.012
2025-06-21	0.01
2025-06-28	0.008
2025-07-05	0.008
2025-07-12	0.008
2025-07-19	0.005
2025-07-26	0.004
2025-08-02	0.004
2025-08-09	0.004
2025-08-16	0.003
2025-08-23	0.004
2025-08-30	0.004
2025-09-06	0.004
2025-09-13	0.005
2025-09-20	0.005
2025-09-27	0.006
2025-10-04	0.005
2025-10-11	0.005
2025-10-18	0.006
2025-10-25	0.008
2025-11-01	0.011000000000000001
2025-11-08	0.019
2025-11-15	0.033
2025-11-22	0.055
2025-11-29	0.08
2025-12-06	0.09
2025-12-13	0.154
2025-12-20	0.255
2025-12-27	0.317
2026-01-03	0.24600000000000002
2026-01-10	0.185
2026-01-17	0.17
2026-01-24	0.175
2026-01-31	0.174
2026-02-07	0.18
2026-02-14	0.184
2026-02-21	0.18100000000000002
2026-02-28	0.158
2026-03-07	0.15
2026-03-14	0.127
