surveillance_network	age_group	signal	lag_weeks	n	corr
FluSurv-NET	65+ yr	rsv_positivity	0	236	0.22989091266923745
FluSurv-NET	65+ yr	rsv_positivity	1	235	0.37683603044749553
FluSurv-NET	65+ yr	rsv_positivity	2	234	0.5052527982547893
FluSurv-NET	65+ yr	rsv_positivity	3	233	0.6202899581574954
FluSurv-NET	65+ yr	rsv_positivity	4	232	0.7198463810337631
FluSurv-NET	65+ yr	rsv_positivity	5	231	0.7945190697610646
FluSurv-NET	65+ yr	rsv_positivity	6	230	0.8348216539371648
FluSurv-NET	65+ yr	rsv_positivity	7	229	0.8445516191422432
FluSurv-NET	65+ yr	rsv_positivity	8	228	0.8239733449274559
FluSurv-NET	65+ yr	wili	0	236	0.8378396203883367
FluSurv-NET	65+ yr	wili	1	235	0.8367263341353139
FluSurv-NET	65+ yr	wili	2	234	0.7528508323151519
FluSurv-NET	65+ yr	wili	3	233	0.6492157395807734
FluSurv-NET	65+ yr	wili	4	232	0.5561059482790375
FluSurv-NET	65+ yr	wili	5	231	0.4609297318442599
FluSurv-NET	65+ yr	wili	6	230	0.3475559908694008
FluSurv-NET	65+ yr	wili	7	229	0.22574707025219856
FluSurv-NET	65+ yr	wili	8	228	0.10952666983506876
FluSurv-NET	Overall	rsv_positivity	0	267	0.36751931088436823
FluSurv-NET	Overall	rsv_positivity	1	266	0.514664066462415
FluSurv-NET	Overall	rsv_positivity	2	265	0.6398295060939956
FluSurv-NET	Overall	rsv_positivity	3	264	0.7461202788678611
FluSurv-NET	Overall	rsv_positivity	4	263	0.8293969902155286
FluSurv-NET	Overall	rsv_positivity	5	262	0.8792323912078348
FluSurv-NET	Overall	rsv_positivity	6	261	0.8889983875767327
FluSurv-NET	Overall	rsv_positivity	7	260	0.8668515046420014
FluSurv-NET	Overall	rsv_positivity	8	259	0.8117557959584908
FluSurv-NET	Overall	wili	0	267	0.8768492353830541
FluSurv-NET	Overall	wili	1	266	0.8583320012549018
FluSurv-NET	Overall	wili	2	265	0.7756497193107307
FluSurv-NET	Overall	wili	3	264	0.6798423721642055
FluSurv-NET	Overall	wili	4	263	0.5913729380198733
FluSurv-NET	Overall	wili	5	262	0.5006605374641766
FluSurv-NET	Overall	wili	6	261	0.3974811916648105
FluSurv-NET	Overall	wili	7	260	0.28736784064059867
FluSurv-NET	Overall	wili	8	259	0.1825678762673717
RSV-NET	65+ yr	rsv_positivity	0	347	0.6830208478306293
RSV-NET	65+ yr	rsv_positivity	1	346	0.8106442044705261
RSV-NET	65+ yr	rsv_positivity	2	345	0.8894184370058476
RSV-NET	65+ yr	rsv_positivity	3	344	0.9303567607973463
RSV-NET	65+ yr	rsv_positivity	4	343	0.9391173995010358
RSV-NET	65+ yr	rsv_positivity	5	342	0.9051657721703816
RSV-NET	65+ yr	rsv_positivity	6	341	0.831444544966134
RSV-NET	65+ yr	rsv_positivity	7	340	0.723210112518795
RSV-NET	65+ yr	rsv_positivity	8	339	0.5886773148830755
RSV-NET	65+ yr	wili	0	347	0.8210726460069352
RSV-NET	65+ yr	wili	1	346	0.8258262266164019
RSV-NET	65+ yr	wili	2	345	0.7861956869746136
RSV-NET	65+ yr	wili	3	344	0.7182523934363807
RSV-NET	65+ yr	wili	4	343	0.6431658425709826
RSV-NET	65+ yr	wili	5	342	0.569423086460529
RSV-NET	65+ yr	wili	6	341	0.4925454815525021
RSV-NET	65+ yr	wili	7	340	0.4133410810368216
RSV-NET	65+ yr	wili	8	339	0.3293377776052046
RSV-NET	Overall	rsv_positivity	0	347	0.8644146078327041
RSV-NET	Overall	rsv_positivity	1	346	0.9320650760757109
RSV-NET	Overall	rsv_positivity	2	345	0.9523903779717962
RSV-NET	Overall	rsv_positivity	3	344	0.9361185074533389
RSV-NET	Overall	rsv_positivity	4	343	0.8855227525163347
RSV-NET	Overall	rsv_positivity	5	342	0.7955034561154594
RSV-NET	Overall	rsv_positivity	6	341	0.6819492278102804
RSV-NET	Overall	rsv_positivity	7	340	0.5439765775969041
RSV-NET	Overall	rsv_positivity	8	339	0.3931953933487206
RSV-NET	Overall	wili	0	347	0.8094526052467136
RSV-NET	Overall	wili	1	346	0.7622725351384895
RSV-NET	Overall	wili	2	345	0.6869189279597202
RSV-NET	Overall	wili	3	344	0.600223966869392
RSV-NET	Overall	wili	4	343	0.513850792273232
RSV-NET	Overall	wili	5	342	0.4293533007910539
RSV-NET	Overall	wili	6	341	0.34386307106945235
RSV-NET	Overall	wili	7	340	0.26022988165498656
RSV-NET	Overall	wili	8	339	0.17525763957828314
